TIPO;IDENTIFICACION;APELLIDO;NOMBRE;CARRERA_INDEFINIDA;INSCRIPCION;DOCUMENTACION;MATRICULA;EMAIL;TELEFONO;SEDE;SEXO;RESIDENCIA;TITULO;EGRESO;UNIVERSIDAD;NACIMIENTO;POSGRADO
NULL;159;80a;3E;ESP.X;2021-06-14 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;160;2B;4F;DOCTORADO Y;2022-03-09 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;161;81a;3E;ESP.X;2021-06-27 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;162;2B;4F;DOCTORADO Y;2021-02-07 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;163;82a;3E;ESP.X;2020-07-16 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;164;2B;4F;ESPECIALIZACI X;2021-03-29 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;165;83a;3E;DOCTORADO Y;2021-02-11 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;166;2B;4F;DOCTORADO Y;2022-02-12 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;167;84a;3E;DOCTORADO Z;2022-02-16 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;168;2B;4F;MAESTR Z;2020-08-06 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;169;85a;3E;ESPECIALIZACI W;2022-02-11 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;170;2B;4F;ESP.X;2020-08-11 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;171;86a;3E;ESP.X;2021-08-09 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;172;2B;4F;MAESTR Y;2020-07-28 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;173;87a;3E;MAESTR X;2022-02-01 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;174;2B;4F;DOCTORADO Z;2021-03-25 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;175;88a;3E;MAESTR X;2020-08-14 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;176;2B;4F;ESPECIALIZACI X;2022-03-15 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;177;89a;3E;CARRERA INDEFINIDA;2020-10-30 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;178;2B;4F;MAESTR Z;2021-08-02 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;179;90a;3E;DOCTORADO Y;2021-02-22 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;180;2B;4F;DOCTORADO Z;2021-03-15 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;181;91a;3E;MAESTR Y;2022-02-08 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;182;2B;4F;MAESTR Y;2022-02-11 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;183;92a;3E;MAESTR Z;2021-06-07 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;184;2B;4F;DOCTORADO Y;2022-03-14 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;185;93a;3E;MAESTR Y;2020-08-01 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;186;2B;4F;ESPECIALIZACIO R;2020-08-09 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;187;94a;3E;ESP.X;2021-06-26 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;188;2B;4F;DOCTORADO Y;2020-07-16 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;189;95a;3E;ESP.X;2020-07-31 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;190;2B;4F;ESPECIALIZACI X;2022-02-23 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;191;96a;3E;MAESTR Z;2021-06-09 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;192;2B;4F;ESP.X;2021-07-17 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;193;97a;3E;MAESTR Y;2020-08-21 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;194;2B;4F;MAESTR Y;2022-02-04 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;195;98a;3E;ESPECIALIZACI X;2022-03-14 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;196;2B;4F;MAESTR Y;2020-08-13 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;197;99a;3E;MAESTR X;2022-02-01 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;198;2B;4F;MAESTR Z;2021-06-10 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;199;100a;3E;ESP.X;2021-07-26 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;200;2B;4F;MAESTR Z;2020-07-30 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;201;101a;3E;ESPECIALIZACIO R;2020-07-10 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;202;2B;4F;MAESTR Y;2022-02-10 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;203;102a;3E;ESPECIALIZACIO R;2021-08-12 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;204;2B;4F;ESPECIALIZACIO R;2021-03-27 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;205;103a;3E;ESPECIALIZACIO R;2021-07-29 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;206;2B;4F;ESPECIALIZACIO R;2021-07-05 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;207;104a;3E;ESP.X;2020-07-13 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;208;2B;4F;ESPECIALIZACI X;2022-02-15 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;209;105a;3E;ESP.X;2021-06-08 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;210;2B;4F;ESPECIALIZACI W;2022-02-22 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;211;106a;3E;ESPECIALIZACI X;2021-02-19 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;212;2B;4F;MAESTR Y;2022-02-01 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;213;107a;3E;MAESTR Z;2021-06-12 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;214;2B;4F;ESP.X;2021-07-05 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;215;108a;3E;ESPECIALIZACIO R;2020-07-03 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;216;2B;4F;MAESTR Z;2021-08-13 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;217;109a;3E;MAESTR Z;2021-07-13 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;218;2B;4F;MAESTR Y;2020-08-02 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;219;110a;3E;DOCTORADO Z;2022-03-12 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;220;2B;4F;MAESTR Z;2020-08-08 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;221;111a;3E;ESPECIALIZACI A;2020-08-13 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;222;2B;4F;ESPECIALIZACI W;2021-03-02 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;223;112a;3E;ESPECIALIZACIO R;2021-03-04 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;224;2B;4F;MAESTR Z;2021-08-13 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;225;113a;3E;ESPECIALIZACI X;2021-03-19 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;226;2B;4F;DOCTORADO Z;2021-02-15 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;227;114a;3E;DOCTORADO Z;2022-02-03 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;228;2B;4F;ESPECIALIZACI W;2021-02-08 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;229;115a;3E;MAESTR Y;2022-02-01 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;230;2B;4F;DOCTORADO Y;2021-02-13 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;231;116a;3E;MAESTR X;2021-03-12 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;232;2B;4F;ESPECIALIZACI X;2022-03-28 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;233;117a;3E;DOCTORADO Y;2021-02-17 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;234;2B;4F;ESP.X;2020-08-01 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;235;118a;3E;MAESTR Y;2020-07-22 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;236;2B;4F;MAESTR Y;2022-02-01 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;237;119a;3E;ESPECIALIZACI X;2022-02-20 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;238;2B;4F;ESP.X;2021-06-11 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;239;120a;3E;ESPECIALIZACIO R;2021-07-31 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;240;2B;4F;ESPECIALIZACIO R;2021-03-07 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;241;121a;3E;MAESTR Z;2020-07-22 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;242;2B;4F;DOCTORADO Y;2022-02-01 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;243;122a;3E;ESP.X;2021-06-07 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;244;2B;4F;MAESTR Z;2020-08-11 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;245;123a;3E;ESPECIALIZACI A;2020-08-11 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;246;2B;4F;DOCTORADO Z;2022-02-15 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;247;124a;3E;ESP.X;2020-08-14 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;248;2B;4F;ESP.X;2020-07-01 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;249;125a;3E;MAESTR Z;2020-07-30 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;250;2B;4F;DOCTORADO Y;2022-02-01 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;251;126a;3E;ESPECIALIZACIO R;2022-02-25 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;252;2B;4F;ESPECIALIZACIO R;2021-08-02 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;253;127a;3E;ESP.X;2021-07-13 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;254;2B;4F;MAESTR Y;2020-08-13 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;255;128a;3E;ESPECIALIZACI X;2022-02-16 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;256;2B;4F;MAESTR Y;2022-02-17 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;257;129a;3E;ESPECIALIZACI W;2022-03-07 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;258;2B;4F;MAESTR Y;2020-08-14 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;259;130a;3E;ESPECIALIZACI A;2020-07-17 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;260;2B;4F;MAESTR Z;2021-06-08 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;261;131a;3E;MAESTR X;2021-03-22 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;262;2B;4F;ESP.X;2020-08-09 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;263;132a;3E;DOCTORADO Z;2021-03-08 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;264;2B;4F;MAETR R;2021-02-05 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;265;133a;3E;ESPECIALIZACI X;2022-03-15 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;266;2B;4F;ESPECIALIZACI W;2021-02-17 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;267;134a;3E;ESP.X;2021-06-14 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;268;2B;4F;ESPECIALIZACI A;2021-03-12 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;269;135a;3E;ESPECIALIZACIO R;2022-03-03 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;270;2B;4F;ESPECIALIZACIO R;2022-02-18 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;271;136a;3E;ESPECIALIZACI X;2021-03-30 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;272;2B;4F;ESP.X;2021-06-08 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;273;137a;3E;MAESTR Z;2020-08-03 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;274;2B;4F;DOCTORADO Z;2022-03-07 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;275;138a;3E;ESPECIALIZACI W;2021-03-18 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;276;2B;4F;MAESTR Y;2020-08-11 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;277;139a;3E;DOCTORADO Y;2022-03-14 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;278;2B;4F;ESP.X;2020-07-01 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;279;140a;3E;ESPECIALIZACI W;2021-03-19 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;280;2B;4F;DOCTORADO Z;2021-03-17 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;281;141a;3E;ESPECIALIZACI W;2022-02-13 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;282;2B;4F;ESPECIALIZACI W;2021-02-26 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;283;142a;3E;ESP.X;2021-06-07 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;284;2B;4F;ESPECIALIZACI A;2020-08-14 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;285;143a;3E;ESPECIALIZACIO R;2021-07-08 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;286;2B;4F;ESP.X;2020-06-30 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;287;144a;3E;ESPECIALIZACI X;2021-02-08 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;288;2B;4F;ESP.X;2021-06-09 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;289;145a;3E;MAESTR Y;2020-08-11 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;290;2B;4F;ESPECIALIZACIO R;2022-03-13 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;291;146a;3E;MAESTR X;2022-02-17 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;292;2B;4F;ESP.X;2021-07-10 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;293;147a;3E;ESPECIALIZACI W;2022-02-01 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;294;2B;4F;ESPECIALIZACI W;2022-02-01 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;295;148a;3E;MAESTR Y;2022-02-01 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;296;2B;4F;ESPECIALIZACI X;2021-03-17 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;297;149a;3E;DOCTORADO Z;2021-02-04 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;298;2B;4F;MAESTR X;2021-02-21 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;299;150a;3E;MAESTR X;2021-02-05 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;300;2B;4F;MAESTR Z;2021-06-17 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;301;151a;3E;MAESTR Z;2021-06-07 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;302;2B;4F;MAESTR Y;2020-08-07 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;303;152a;3E;ESPECIALIZACI A;2022-03-10 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;304;2B;4F;ESPECIALIZACI W;2021-02-24 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;305;153a;3E;ESPECIALIZACI W;2021-02-24 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;306;2B;4F;ESPECIALIZACIO R;2022-03-09 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;307;154a;3E;ESPECIALIZACI W;2021-02-19 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;308;2B;4F;ESPECIALIZACI W;2022-03-23 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;309;155a;3E;MAESTR Z;2021-08-13 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;310;2B;4F;ESP.X;2020-08-05 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;311;156a;3E;ESPECIALIZACI X;2022-03-25 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;312;2B;4F;DOCTORADO Z;2021-03-24 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;313;157a;3E;ESPECIALIZACI X;2021-03-22 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;314;2B;4F;ESP.X;2020-08-09 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;315;158a;3E;ESPECIALIZACI W;2021-03-05 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;316;2B;4F;ESP.X;2020-08-06 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;317;159a;3E;ESP.X;2020-08-01 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
